WAFERID,LOTID,WAFERNO,LOTTYPE,EVENTTIME,MATERIALID,SLOTNO,NETDIE,PRODCTGROUP,CATEGORY,EQPNAME,COMMENT,BINTOTAL,BIN00,BIN01,BIN02,BIN03,BIN04,BIN05,BIN06,BIN07,BIN08,BIN09,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30
NBGAO0731,NBGAO0730,B1IZDC,B,2022-02-01 00:56:25,SWG42BGA0F02,15,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9945,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0732,NBGAO0730,B1IZDD,B,2022-02-01 00:56:25,SWG42BGA0F02,20,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9964,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0733,NBGAO0730,B1IZDE,B,2022-02-01 00:56:25,SWG42BGA0F02,16,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9974,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0734,NBGAO0730,B1IZDF,B,2022-02-01 00:56:25,SWG42BGA0F02,19,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9897,7,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0735,NBGAO0730,B1IZDG,B,2022-02-01 00:56:25,SWG42BGA0F02,21,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9978,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0736,NBGAO0730,B1IZDH,B,2022-02-01 00:56:25,SWG42BGA0F02,22,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9978,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0737,NBGAO0730,B1IZDI,B,2022-02-01 00:56:25,SWG42BGA0F02,17,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9967,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0738,NBGAO0730,B1IZDJ,B,2022-02-01 00:56:25,SWG42BGA0F02,18,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9923,2,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO0739,NBGAO0730,B1IZDK,B,2022-02-01 00:56:25,SWG42BGA0F02,23,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9957,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073A,NBGAO0730,B1IZDL,B,2022-02-01 00:56:25,SWG42BGA0F02,24,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9962,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073B,NBGAO0730,B1IZDM,B,2022-02-01 00:56:25,SWG42BGA0F02,2,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9977,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073C,NBGAO0730,B1IZDN,B,2022-02-01 00:56:25,SWG42BGA0F02,3,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9947,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073D,NBGAO0730,B1IZDO,B,2022-02-01 00:56:25,SWG42BGA0F02,1,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9969,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073E,NBGAO0730,B1IZDP,B,2022-02-01 00:56:25,SWG42BGA0F02,4,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9975,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073F,NBGAO0730,B1IZDQ,B,2022-02-01 00:56:25,SWG42BGA0F02,6,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9975,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073G,NBGAO0730,B1IZDR,B,2022-02-01 00:56:25,SWG42BGA0F02,5,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9947,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073H,NBGAO0730,B1IZDS,B,2022-02-01 00:56:25,SWG42BGA0F02,7,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9975,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073I,NBGAO0730,B1IZDT,B,2022-02-01 00:56:25,SWG42BGA0F02,8,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9970,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073J,NBGAO0730,B1IZDU,B,2022-02-01 00:56:25,SWG42BGA0F02,9,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9976,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073K,NBGAO0730,B1IZDV,B,2022-02-01 00:56:25,SWG42BGA0F02,10,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9970,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073L,NBGAO0730,B1IZDW,B,2022-02-01 00:56:25,SWG42BGA0F02,12,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9974,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073M,NBGAO0730,B1IZDX,B,2022-02-01 00:56:25,SWG42BGA0F02,13,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9973,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073N,NBGAO0730,B1IZDY,B,2022-02-01 00:56:25,SWG42BGA0F02,14,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9978,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAO073O,NBGAO0730,B1IZDZ,B,2022-02-01 00:56:25,SWG42BGA0F02,11,9692,TC-CSP,TC_MOLD,외관검사기#8, ,9981,9940,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0832,NBGAR0830,A1D3T3,B,2022-02-01 01:48:50,SX806AZYRF01,20,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8188,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0833,NBGAR0830,A1D3T4,B,2022-02-01 01:48:50,SX806AZYRF01,19,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8186,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0834,NBGAR0830,A1D3T5,B,2022-02-01 01:48:50,SX806AZYRF01,18,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8136,21,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0836,NBGAR0830,A1D3T7,B,2022-02-01 01:48:50,SX806AZYRF01,17,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8194,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0837,NBGAR0830,A1D3T8,B,2022-02-01 01:48:50,SX806AZYRF01,16,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8192,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0838,NBGAR0830,A1D3T9,B,2022-02-01 01:48:50,SX806AZYRF01,15,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8173,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR0839,NBGAR0830,A1D3TA,B,2022-02-01 01:48:50,SX806AZYRF01,5,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8188,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083A,NBGAR0830,A1D3TB,B,2022-02-01 01:48:50,SX806AZYRF01,14,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8185,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAR083B,NBGAR0830,A1D3TC,B,2022-02-01 01:48:50,SX806AZYRF01,4,7776,TC-CSP,TC_DPX,외관검사기#8, ,8207,8135,16,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
